#,Repository,Owner,Owner Type,Stars,Forks,Infected Files,File Paths,Description,Repo URL
1,Codechef-VITC-Student-Chapter/Club-Integration-and-Management-Platform,Codechef-VITC-Student-Chapter,Organization,6,11,1,Client/postcss.config.mjs,,https://github.com/Codechef-VITC-Student-Chapter/Club-Integration-and-Management-Platform
2,sparktechagency/Vap-shop-Front-End-,sparktechagency,Organization,7,0,1,postcss.config.mjs,"VapeShopMaps – A B2B social and e-commerce platform connecting users, stores, brands, and wholesalers with real-time social features and advanced SEO optimization.",https://github.com/sparktechagency/Vap-shop-Front-End-
3,MIS-Silekta/silekta-frontend,MIS-Silekta,Organization,1,3,1,postcss.config.mjs,This is the frontend repository of the silekta company for the MIS module.,https://github.com/MIS-Silekta/silekta-frontend
4,UzairOrganization/allTask,UzairOrganization,Organization,0,2,1,postcss.config.mjs,,https://github.com/UzairOrganization/allTask
5,FSDTeam-SAA/nico41278-frontend,FSDTeam-SAA,Organization,0,2,1,postcss.config.mjs,,https://github.com/FSDTeam-SAA/nico41278-frontend
6,FSDTeam-SAA/cstrat_frontend,FSDTeam-SAA,Organization,1,1,1,postcss.config.mjs,,https://github.com/FSDTeam-SAA/cstrat_frontend
7,SoftySkills/quiz_app,SoftySkills,Organization,3,0,1,postcss.config.mjs,,https://github.com/SoftySkills/quiz_app
8,dawahanigeria-team/rayyan-server,dawahanigeria-team,Organization,3,0,1,eslint.config.mjs,Rayyan App Server,https://github.com/dawahanigeria-team/rayyan-server
9,FSDTeam-SAA/sahara_53,FSDTeam-SAA,Organization,0,1,1,postcss.config.mjs,"Build a Story Time is an AI-powered platform that lets users create personalized storybooks using their own voice and faces as characters. It transforms storytelling into a magical, interactive, and deeply personal experience.",https://github.com/FSDTeam-SAA/sahara_53
10,FSDTeam-SAA/lowready-frontend,FSDTeam-SAA,Organization,0,1,1,postcss.config.mjs,,https://github.com/FSDTeam-SAA/lowready-frontend
11,Addis-Career/Frontend,Addis-Career,Organization,0,1,1,postcss.config.mjs,,https://github.com/Addis-Career/Frontend
12,etrainermis/mineduc-Form,etrainermis,Organization,0,1,1,postcss.config.mjs,EAC World Kiswahili Language Day Celebrations Forum,https://github.com/etrainermis/mineduc-Form
13,FSDTeam-SAA/brazen-kits,FSDTeam-SAA,Organization,0,1,1,postcss.config.mjs,,https://github.com/FSDTeam-SAA/brazen-kits
14,FSDTeam-SAA/Igghy-dashboard,FSDTeam-SAA,Organization,0,1,1,postcss.config.mjs,,https://github.com/FSDTeam-SAA/Igghy-dashboard
15,FlowBondTech/danz-miniapps,FlowBondTech,Organization,0,1,2,danz-main/postcss.config.mjs | daily-danz/postcss.config.mjs,,https://github.com/FlowBondTech/danz-miniapps
16,BrennansWave-com/brennanswave,BrennansWave-com,Organization,0,1,1,postcss.config.mjs,,https://github.com/BrennansWave-com/brennanswave
17,FlowBondTech/danz-web,FlowBondTech,Organization,0,1,1,postcss.config.mjs,,https://github.com/FlowBondTech/danz-web
18,QualifyAI/qualify-frontend,QualifyAI,Organization,0,1,1,postcss.config.mjs,,https://github.com/QualifyAI/qualify-frontend
19,FSDTeam-SAA/ftfdesignco-backend,FSDTeam-SAA,Organization,0,1,1,src/router/index.js,,https://github.com/FSDTeam-SAA/ftfdesignco-backend
20,Gamage-Recruiters-406/Rent_a_Car,Gamage-Recruiters-406,Organization,1,0,1,frontend/postcss.config.mjs,,https://github.com/Gamage-Recruiters-406/Rent_a_Car
21,Umbrelabs-Projects/Procobiz,Umbrelabs-Projects,Organization,1,0,1,postcss.config.mjs,,https://github.com/Umbrelabs-Projects/Procobiz
22,The-Extra-Project/Extra_surface_repo,The-Extra-Project,Organization,1,0,1,frontend/postcss.config.mjs,deployment version of the Laurent's version for Extra-surface.,https://github.com/The-Extra-Project/Extra_surface_repo
23,Automobile-System/frontend,Automobile-System,Organization,1,0,1,postcss.config.mjs,,https://github.com/Automobile-System/frontend
24,VplayProCrypto/mvp_vercel,VplayProCrypto,Organization,1,0,1,tailwind.config.js,Repositiory of phase 1 mvp,https://github.com/VplayProCrypto/mvp_vercel
25,sparktechagency/nskustoms_custom_game_site-2.0,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/nskustoms_custom_game_site-2.0
26,softvence-omega-future-stack/gameluke-frontend,softvence-omega-future-stack,Organization,0,0,1,postcss.config.mjs,,https://github.com/softvence-omega-future-stack/gameluke-frontend
27,NexumTechnologies/E-Commerce,NexumTechnologies,Organization,0,0,1,postcss.config.mjs,,https://github.com/NexumTechnologies/E-Commerce
28,Umbrelabs-Projects/Hostella-superAdmin,Umbrelabs-Projects,Organization,0,0,1,postcss.config.mjs,This repo is for those who will register admins ,https://github.com/Umbrelabs-Projects/Hostella-superAdmin
29,FSDTeam-SAA/admin-dashboard-gman,FSDTeam-SAA,Organization,0,0,1,postcss.config.mjs,,https://github.com/FSDTeam-SAA/admin-dashboard-gman
30,sparktechagency/protippz_website,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/protippz_website
31,FlowRMS/flow-connect-frontend-new,FlowRMS,Organization,0,0,1,postcss.config.mjs,FlowConnect Frontend Application,https://github.com/FlowRMS/flow-connect-frontend-new
32,Anthem-InfoTech-Pvt-Ltd/dashboards,Anthem-InfoTech-Pvt-Ltd,Organization,0,0,1,postcss.config.mjs,,https://github.com/Anthem-InfoTech-Pvt-Ltd/dashboards
33,WeOwnAiAgents-Hackerhouse/WeOwnAiAgent,WeOwnAiAgents-Hackerhouse,Organization,0,0,1,postcss.config.mjs,"building the ultimate orchestration agent orchestration platform which is sovereign, tokenomics driven and build for web3 community . Contribution for ethdenver hackathon. ",https://github.com/WeOwnAiAgents-Hackerhouse/WeOwnAiAgent
34,Karigar-App/Karigar,Karigar-App,Organization,0,0,1,packages/ui/postcss.config.mjs,,https://github.com/Karigar-App/Karigar
35,sparktechagency/silicon-zisan-website,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/silicon-zisan-website
36,FSDTeam-SAA/hinkel-Website,FSDTeam-SAA,Organization,0,0,1,postcss.config.mjs,,https://github.com/FSDTeam-SAA/hinkel-Website
37,FSDTeam-SAA/iwmsadvisors,FSDTeam-SAA,Organization,0,0,1,postcss.config.mjs,,https://github.com/FSDTeam-SAA/iwmsadvisors
38,Umbrelabs-Projects/Hostella-admin,Umbrelabs-Projects,Organization,0,0,1,postcss.config.mjs,Hostella admin platform ,https://github.com/Umbrelabs-Projects/Hostella-admin
39,Umbrelabs-Projects/Hostella-stu,Umbrelabs-Projects,Organization,0,0,1,postcss.config.mjs,Hostella student hostel booking platform,https://github.com/Umbrelabs-Projects/Hostella-stu
40,iwb25-412-vertex-prime/apigateway-v1,iwb25-412-vertex-prime,Organization,0,0,1,userportal/postcss.config.mjs,"User Portal + Management Layer | Quota management, Rule enforcement, API key validation.",https://github.com/iwb25-412-vertex-prime/apigateway-v1
41,Cloudrika/cloudrika-web,Cloudrika,Organization,0,0,2,packages/ui/postcss.config.mjs | apps/email-portal/next.config.mjs,,https://github.com/Cloudrika/cloudrika-web
42,sparktechagency/consult_dashboard,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/consult_dashboard
43,sparktechagency/jonowoods-website,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/jonowoods-website
44,Softvence-Omega-Dev-Ninjas/diaz-jupiter-marine-frontend,Softvence-Omega-Dev-Ninjas,Organization,0,0,1,postcss.config.mjs,,https://github.com/Softvence-Omega-Dev-Ninjas/diaz-jupiter-marine-frontend
45,sparktechagency/profitable-website-v2,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/profitable-website-v2
46,musetax/Amus-fe,musetax,Organization,0,0,1,postcss.config.mjs,,https://github.com/musetax/Amus-fe
47,sparktechagency/faceAi-front-end,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/faceAi-front-end
48,sparktechagency/any-job-dashboard,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/any-job-dashboard
49,sparktechagency/anyjob-web,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/anyjob-web
50,softvence-omega-future-stack/lawalx_frontend,softvence-omega-future-stack,Organization,0,0,1,postcss.config.mjs,,https://github.com/softvence-omega-future-stack/lawalx_frontend
51,softvence-omega-future-stack/kilian-rodhe-last-,softvence-omega-future-stack,Organization,0,0,1,postcss.config.mjs,,https://github.com/softvence-omega-future-stack/kilian-rodhe-last-
52,WeOwnNetwork/EthDenver-submission,WeOwnNetwork,Organization,0,0,1,apps/web/postcss.config.mjs,Building the #FedArch orchestration infra client with onchain agent registry. submission for ETHDenver 2026 hackathon,https://github.com/WeOwnNetwork/EthDenver-submission
53,sparktechagency/betopia-website,sparktechagency,Organization,0,0,1,postcss.config.mjs,,https://github.com/sparktechagency/betopia-website
54,FlowRMSLabs/flowdemandwebsite,FlowRMSLabs,Organization,0,0,1,postcss.config.mjs,,https://github.com/FlowRMSLabs/flowdemandwebsite
55,BhavikPatel-dreamz/wove-gift-portal,BhavikPatel-dreamz,Organization,0,0,1,postcss.config.mjs,,https://github.com/BhavikPatel-dreamz/wove-gift-portal
56,BhavikPatel-dreamz/DynamicDreamz-AIagent-Demos,BhavikPatel-dreamz,Organization,0,0,1,postcss.config.mjs,,https://github.com/BhavikPatel-dreamz/DynamicDreamz-AIagent-Demos
57,GARAGE-POS/nextjs_test,GARAGE-POS,Organization,0,0,1,postcss.config.mjs,,https://github.com/GARAGE-POS/nextjs_test
58,BhavikPatel-dreamz/Homeopathway,BhavikPatel-dreamz,Organization,0,0,1,postcss.config.mjs,Homeopathway,https://github.com/BhavikPatel-dreamz/Homeopathway
59,digitalschool-tech/tech-static,digitalschool-tech,Organization,0,0,1,postcss.config.mjs,,https://github.com/digitalschool-tech/tech-static
60,tricodenetwork/lock-up,tricodenetwork,Organization,0,0,1,frontend/postcss.config.mjs,,https://github.com/tricodenetwork/lock-up
61,Sahl-AI/sahl-ai-iframe,Sahl-AI,Organization,0,0,1,tailwind.config.js,This contains the demo react app to test iframe approach,https://github.com/Sahl-AI/sahl-ai-iframe
62,dawahanigeria-team/domainping,dawahanigeria-team,Organization,0,0,1,frontend/tailwind.config.js,,https://github.com/dawahanigeria-team/domainping
63,shahid538org/microrealestate,shahid538org,Organization,0,0,1,webapps/landlord/tailwind.config.js,,https://github.com/shahid538org/microrealestate
64,orynth-dev/vite-shadcn-template,orynth-dev,Organization,0,0,1,tailwind.config.js,,https://github.com/orynth-dev/vite-shadcn-template
65,FlowBondTech/egator,FlowBondTech,Organization,0,0,1,apps/web/tailwind.config.js,AIeGator - AI-powered event aggregation engine (ETHDenver via Luma),https://github.com/FlowBondTech/egator
66,sparktechagency/u_tee_hub,sparktechagency,Organization,0,0,1,tailwind.config.js,,https://github.com/sparktechagency/u_tee_hub
67,Enigma-Incorporated-Ltd/N0DE-Website,Enigma-Incorporated-Ltd,Organization,0,0,2,tailwind.config.js | src/tailwind.config.js,,https://github.com/Enigma-Incorporated-Ltd/N0DE-Website
68,FSDTeam-SAA/AMES_Investment_new,FSDTeam-SAA,Organization,0,0,1,tailwind.config.js,,https://github.com/FSDTeam-SAA/AMES_Investment_new
69,Frontier-tech-consulting/olas-mcp-application-workflow,Frontier-tech-consulting,Organization,0,0,1,docs/tailwind.config.js,This consist of the corresponding UI mockup workflow regarding the Olas ecosystem (for letting users run the MCP application for doing onchain interactions).,https://github.com/Frontier-tech-consulting/olas-mcp-application-workflow
70,Softvence-Omega-Dev-Ninjas/vic_pec_server_app,Softvence-Omega-Dev-Ninjas,Organization,0,0,1,eslint.config.mjs,,https://github.com/Softvence-Omega-Dev-Ninjas/vic_pec_server_app
71,Softvence-Omega-Dev-Ninjas/jdadzok_server,Softvence-Omega-Dev-Ninjas,Organization,0,0,1,eslint.config.mjs,,https://github.com/Softvence-Omega-Dev-Ninjas/jdadzok_server
72,Binary-Mindz/agimtula_server,Binary-Mindz,Organization,0,0,1,eslint.config.mjs,,https://github.com/Binary-Mindz/agimtula_server
73,Softvence-Omega-Dev-Ninjas/alvaaro-server,Softvence-Omega-Dev-Ninjas,Organization,0,0,1,eslint.config.mjs,,https://github.com/Softvence-Omega-Dev-Ninjas/alvaaro-server
74,Softvence-Omega-Cyber-Monk/nishant-server,Softvence-Omega-Cyber-Monk,Organization,0,0,1,eslint.config.mjs,,https://github.com/Softvence-Omega-Cyber-Monk/nishant-server
75,softvence-omega-future-stack/huss-be,softvence-omega-future-stack,Organization,0,0,1,eslint.config.mjs,,https://github.com/softvence-omega-future-stack/huss-be
76,BhavikPatel-dreamz/Products-filters-react,BhavikPatel-dreamz,Organization,0,0,1,src/App.js,,https://github.com/BhavikPatel-dreamz/Products-filters-react
77,Victorola-coder/tewo,Victorola-coder,User,9,6,1,tailwind.config.js,"tewosimi boboyi, ebi n pami",https://github.com/Victorola-coder/tewo
