#,repository,owner,owner_type,stars,forks,description,repo_url,infected_files,file_paths,marker_family,severity,in_osm,osm_threat_id,submission_round,needs_recheck,repo_status
2,scholtz/vote-coin-demo,scholtz,User,596,4,,https://github.com/scholtz/vote-coin-demo,0,,Cot%3t=shtP-sg,critical,true,f739b132-4932-47e7-8dfa-69a44c4180ec,pre_existing_osm,no,live
3,Learn-with-Sumit/rnext-batch-1-solutions,Learn-with-Sumit,Organization,434,32,Reactive Accelerator Assignment Solutions - Batch-1,https://github.com/Learn-with-Sumit/rnext-batch-1-solutions,0,,Cot%3t=shtP-sg,critical,true,eb21eb8e-92c6-42d9-b8f4-5f948f4fa444,pre_existing_osm,no,live
4,0x-skuld/Tailwindcss-React-Responsive-Navbar,0x-skuld,User,436,9,"This is a responsive navbar created using Tailwind CSS, Vite, and React. It adapts to different screen sizes and provides easy navigation for the user. The navbar is built using a combination of HTML and React components, with styling provided by Tailwind CSS. Vite is used as the build tool to enable fast and efficient development. ",https://github.com/0x-skuld/Tailwindcss-React-Responsive-Navbar,0,,Cot%3t=shtP-sg,critical,true,17b78ed0-a811-4764-b79d-df7694408263,pre_existing_osm,no,live
5,MoralisWeb3/moralis-analytics-js,MoralisWeb3,Organization,420,1,,https://github.com/MoralisWeb3/moralis-analytics-js,0,,Cot%3t=shtP-sg,critical,true,28377afb-3ba7-4f3f-b532-fe8cc6661564,pre_existing_osm,no,live
6,herasoftlabs/ChainLab,herasoftlabs,User,417,2,"A powerful, fast, and user-friendly platform for anyone interested in building blockchain applications! Chainlab makes it easy to create, manage, and deploy smart contracts and decentralized applications (dApps) on EVM-compatible chains.",https://github.com/herasoftlabs/ChainLab,0,,Cot%3t=shtP-sg,critical,true,3f98f9f2-651f-4561-8f07-223162426403,pre_existing_osm,no,live
7,Hardocs/desktop-app,Hardocs,Organization,415,2,Hardocs desktop app presenting current docs editing functionalities.,https://github.com/Hardocs/desktop-app,0,,Cot%3t=shtP-sg,critical,true,58e302ce-42fc-4702-b23d-59b12daadf8e,pre_existing_osm,no,live
8,subramanianv/CertificateVerification,subramanianv,User,410,4,,https://github.com/subramanianv/CertificateVerification,0,,Cot%3t=shtP-sg,critical,true,869898d4-5f15-4ac6-b092-7b35040274f2,pre_existing_osm,no,live
9,armujahid/solana-voting,armujahid,User,416,0,,https://github.com/armujahid/solana-voting,0,,Cot%3t=shtP-sg,critical,true,80f047e1-e9cc-4375-8cdc-a52519b009f5,pre_existing_osm,no,live
10,bugthug404/web-biometric-auth-app,bugthug404,User,415,0,,https://github.com/bugthug404/web-biometric-auth-app,0,,Cot%3t=shtP-sg,critical,true,7b13d508-b7e4-4b3c-936d-e4fb50b4ce9e,pre_existing_osm,no,live
11,idrak888/lab2client-frontend,idrak888,User,413,1,Primary React website for lab2client,https://github.com/idrak888/lab2client-frontend,0,,Cot%3t=shtP-sg,critical,true,02eb4ed4-8624-4ba1-b8c4-a983b02edf45,pre_existing_osm,no,live
12,eddiemuro123/nextjs-graphql-wongame,eddiemuro123,User,412,0,,https://github.com/eddiemuro123/nextjs-graphql-wongame,0,,Cot%3t=shtP-sg,critical,true,dc60a12f-7236-488b-87f6-f4df1d48d198,pre_existing_osm,no,live
13,scholtz/covid-sk,scholtz,User,410,1,,https://github.com/scholtz/covid-sk,0,,Cot%3t=shtP-sg,critical,true,9a89593b-2779-42ff-958b-b596ac01701d,pre_existing_osm,no,live
14,staticGuru/SPA-Landing-Page,staticGuru,User,412,0,Mobile app publish screen in the react native,https://github.com/staticGuru/SPA-Landing-Page,0,,Cot%3t=shtP-sg,critical,true,34c9e974-944a-45c3-af15-ddfd72afd9ee,pre_existing_osm,no,live
15,Arcadio-1/Taraneh_v1,Arcadio-1,User,411,0,"Digikala-style e-commerce & blog built with Next.js 14, TypeScript, Tailwind, Prisma, MongoDB, Redis, NextAuth, Zod, React Hook Form, shadcn/ui & MUI.",https://github.com/Arcadio-1/Taraneh_v1,0,,Cot%3t=shtP-sg,critical,true,459c8c93-2000-467d-8142-a59dbbc92d70,pre_existing_osm,no,live
16,khaliduddin/egg-picker,khaliduddin,User,405,3,Egg Picker Play 2 Earn Game Demo release,https://github.com/khaliduddin/egg-picker,0,,Cot%3t=shtP-sg,critical,true,13843e22-23ed-4be0-9360-97daa449e706,pre_existing_osm,no,live
17,scads-io/frontend,scads-io,Organization,411,0,,https://github.com/scads-io/frontend,0,,Cot%3t=shtP-sg,critical,true,8b07b239-7562-4cfd-a8e8-259f60365e68,pre_existing_osm,no,live
18,Lynxverse/lynxverse.io,Lynxverse,User,408,0,gamification service with a focus on charitable activities,https://github.com/Lynxverse/lynxverse.io,0,,Cot%3t=shtP-sg,critical,true,9fb5df3c-c033-4b5b-b922-27ebfbb82089,pre_existing_osm,no,live
19,Nainish-Rai/strings-web,Nainish-Rai,User,383,2,,https://github.com/Nainish-Rai/strings-web,0,,Cot%3t=shtP-sg,critical,true,202308ac-a807-4900-a409-47498058185f,pre_existing_osm,no,live
20,ProofOfEstimate/uefa-poe,ProofOfEstimate,Organization,315,1,,https://github.com/ProofOfEstimate/uefa-poe,0,,Cot%3t=shtP-sg,critical,true,659e640c-40de-42ba-90de-2698cc3e9fda,pre_existing_osm,no,live
21,DNature/gridsome-electron-boilerplate,DNature,User,290,0,"🚀 Salable, and focused on developer experience for building desktop apps with electron and gridsome. Includes typescript support for gridsome.",https://github.com/DNature/gridsome-electron-boilerplate,0,,Cot%3t=shtP-sg,critical,true,5b6f8705-9e4b-4c70-8468-78ba27898018,pre_existing_osm,no,live
22,Nature-UI/examples,Nature-UI,Organization,269,0,Nature UI Starter pack,https://github.com/Nature-UI/examples,0,,Cot%3t=shtP-sg,critical,true,c5c92e2a-980b-4608-992e-af18a2834876,pre_existing_osm,no,live
23,morganjweaver/liquibet,morganjweaver,User,261,1,LiquiBet: Chainlink Hackathon x Encode Bootcamp Final Project,https://github.com/morganjweaver/liquibet,0,,Cot%3t=shtP-sg,critical,true,e534e6f4-20aa-45e5-abad-42e2ea3d7be7,pre_existing_osm,no,live
24,sanketnighot/sat-token-deployer-ui,sanketnighot,User,256,1,"SAT's stands for Social Appreciation Tokens, a revolutionary tokenization system on the Tezos blockchain that transforms the relationship between artists and their collectors. SAT's operate on the principle of decentralized promotion and ownership, creating a symbiotic ecosystem that benefits both artists and token holders.",https://github.com/sanketnighot/sat-token-deployer-ui,0,,Cot%3t=shtP-sg,critical,true,e7fdf4e2-d87f-418e-a5f1-c7977bec8e4c,pre_existing_osm,no,live
25,mdsalahuddin2001/currency-converter,mdsalahuddin2001,User,249,0,,https://github.com/mdsalahuddin2001/currency-converter,0,,Cot%3t=shtP-sg,critical,true,947956cc-f858-4ddb-ad00-b30b70d94e9e,pre_existing_osm,no,live
26,bugthug404/Groceries-next,bugthug404,User,245,0,this is groceries,https://github.com/bugthug404/Groceries-next,0,,Cot%3t=shtP-sg,critical,true,0ca33e09-fa6b-48a6-b63b-1508cf008b6e,pre_existing_osm,no,live
27,Web3-Builders-Alliance/convergence,Web3-Builders-Alliance,Organization,241,0,,https://github.com/Web3-Builders-Alliance/convergence,0,,Cot%3t=shtP-sg,critical,true,0ecd727e-3b69-4e92-a74c-b2f15e573a0a,pre_existing_osm,no,live
